"","Entry","Name","Formula","Exact_Mass"
"4307","C01249","7,8-Dihydro-7,8-dihydroxykynurenate","C10H9NO5","223.0481"
"4308","C02778","2-Acetamidofluorene;","C15H13NO","223.0997"
"4309","C03147","N-Malonylanthranilate","C10H9NO5","223.0481"
"4310","C04327","4-Methyl-5-(2-phosphoethyl)thiazole;","C6H10NO4PS","223.0068"
"4311","C05201","(R,S)-Tetrahydrobenzylisoquinoline;","C16H17N","223.1361"
"4312","C05645","4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate","C10H9NO5","223.0481"
"4313","C05652","4-(2-Amino-5-hydroxyphenyl)-2,4-dioxobutanoate","C10H9NO5","223.0481"
"4314","C07258","Neostigmine","C12H19N2O2","223.1447"
"4315","C10868","Tigloidine","C13H21NO2","223.1572"
"4316","C10919","Mepanipyrim","C14H13N3","223.1109"
"4317","C12058","Cerulenin","C12H17NO3","223.1208"
"4318","C12182","Trisphaeridine;","C14H9NO2","223.0633"
"4319","C13138","beta-Butoxyethylnicotinate;","C12H17NO3","223.1208"
"4320","C13735","Selfotel","C7H14NO5P","223.061"
"4321","C14433","Bendiocarb;","C11H13NO4","223.0845"
"4322","C14444","2-Aminoanthraquinone","C14H9NO2","223.0633"
"4323","C16704","Anhalonidine","C12H17NO3","223.1208"
"4324","C17952","N-Acetylphosphinothricin;","C7H14NO5P","223.061"
"4325","C18483","Probenazole","C10H9NO3S","223.0303"
"4326","C18663","Monocrotophos","C7H14NO5P","223.061"
"4327","C18953","Dioxacarb","C11H13NO4","223.0845"
"4328","C19060","Chlorbufam","C11H10ClNO2","223.04"
"4329","C19096","Sulfallate","C8H14ClNS2","223.0256"
"4330","C19470","9-Nitroanthracene","C14H9NO2","223.0633"
"4331","C19563","4-[(Hydroxymethyl)nitrosoamino]-1-(3-pyridinyl)-1-butanone","C10H13N3O3","223.0957"
"4332","C19566","4-Hydroxy-4-(methylnitrosoamino)-1-(3-pyridinyl)-1-butanone","C10H13N3O3","223.0957"
"4333","C19602","4-(Methylnitrosamino)-1-(1-oxido-3-pyridinyl)-1-butanone;","C10H13N3O3","223.0957"
"4334","C19686","3-(1-Carboxyvinyloxy)anthranilate;","C10H9NO5","223.0481"
"4335","C18767","2,3,6-TBA;","C7H3Cl3O2","223.9199"
"4336","C18303","3,5-Dichloro-2-methylmuconate","C7H6Cl2O4","223.9643"
"4337","C18308","3,5-Dichloro-2-methylmuconolactone","C7H6Cl2O4","223.9643"
"4338","C17379","Leadoxide","PbO","223.9716"
"4339","C18832","Fenclorim","C10H6Cl2N2","223.9908"
"4340","C00482","Sinapate;","C11H12O5","224.0685"
"4341","C00766","Flavanone;","C15H12O2","224.0837"
"4342","C01760","(6S,9R)-Vomifoliol;","C13H20O3","224.1412"
"4343","C01927","Isoflavanone","C15H12O2","224.0837"
"4344","C02099","(2S)-Flavanone","C15H12O2","224.0837"
"4345","C02794","3-Hydroxykynurenine;","C10H12N2O4","224.0797"
"4346","C02980","Hydroxyanthraquinone;","C14H8O3","224.0473"
"4347","C03227","3-Hydroxy-L-kynurenine","C10H12N2O4","224.0797"
"4348","C04166","(+/-)-6-Hydroxy-3-oxo-alpha-ionol;","C13H20O3","224.1412"
"4349","C05651","5-Hydroxykynurenine;","C10H12N2O4","224.0797"
"4350","C06183","L-(+)-Anaferine;","C13H24N2O","224.1889"
"4351","C06521","Cuscohygrine;","C13H24N2O","224.1889"
"4352","C07312","Stavudine;","C10H12N2O4","224.0797"
"4353","C09321","2'-Hydroxychalcone","C15H12O2","224.0837"
"4354","C10571","Aspergillicacid","C12H20N2O2","224.1525"
"4355","C10673","Aspidinol","C12H16O4","224.1049"
"4356","C11358","D-(-)-Anaferine;","C13H24N2O","224.1889"
"4357","C11512","Methyljasmonate;","C13H20O3","224.1412"
"4358","C14231","4-Hydroxychalcone","C15H12O2","224.0837"
"4359","C14232","4'-Hydroxychalcone","C15H12O2","224.0837"
"4360","C14277","3,4-Diphenyltetrahydrofuran","C16H16O","224.1201"
"4361","C16038","2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine;","C13H12N4","224.1062"
"4362","C16208","1-Methoxy-2-hydroxyanthracene","C15H12O2","224.0837"
"4363","C16318","(+)-7-Isomethyljasmonate","C13H20O3","224.1412"
"4364","C16455","Radium-224","Ra","224.0202"
"4365","C17020","NavenoneB","C16H16O","224.1201"
"4366","C18421","Propamocarbhydrochloride","C9H21N2O2.Cl","224.1292"
"4367","C18688","Mevinphos","C7H13O6P","224.045"
"4368","C19272","Nifuradene;","C8H8N4O4","224.0546"
"4369","C20417","2,4-Dihydroxy-6-pentylbenzoate;","C12H16O4","224.1049"
"4370","C20653","2-Benzylmalicacid;","C11H12O5","224.0685"
"4371","C20654","3-Benzylmalicacid;","C11H12O5","224.0685"
"4372","C05706","Se-PropenylselenocysteineSe-oxide","C6H11NO3Se","224.9904"
"4373","C03764","para-(Dimethylamino)azobenzene;","C14H15N3","225.1266"
"4374","C06810","Acyclovir;","C8H11N5O3","225.0862"
"4375","C07129","Terbutaline","C12H19NO3","225.1365"
"4376","C07533","Prenalterol","C12H19NO3","225.1365"
"4377","C07999","Furazolidone","C8H7N3O5","225.0386"
"4378","C08310","N-Methylmescaline","C12H19NO3","225.1365"
"4379","C09228","Murrayanine;","C14H11NO2","225.079"
"4380","C10914","Cyprodinil","C14H15N3","225.1266"
"4381","C11263","6-Benzylaminopurine;","C12H11N5","225.1014"
"4382","C11355","4-Amino-4-deoxychorismate;","C10H11NO5","225.0637"
"4383","C14186","Prometon;","C10H19N5O","225.159"
"4384","C14662","(E)-4-Nitrostilbene;","C14H11NO2","225.079"
"4385","C15043","2-[2-(4-Pyridinyl)-1-butenyl]phenol","C15H15NO","225.1154"
"4386","C17019","NavenoneA","C15H15NO","225.1154"
"4387","C18054","2-Amino-2-deoxyisochorismate;","C10H11NO5","225.0637"
"4388","C18649","Ethiofencarb","C11H15NO2S","225.0823"
"4389","C18651","Methiocarb","C11H15NO2S","225.0823"
"4390","C18768","Terbumeton","C10H19N5O","225.159"
"4391","C19099","Aziprotryne","C7H11N7S","225.0797"
"4392","C19106","Secbumeton","C10H19N5O","225.159"
"4393","C19188","ortho-Aminoazotoluene;","C14H15N3","225.1266"
"4394","C19577","1-(Methylnitrosoamino)-4-(3-pyridinyl)-1,4-butanediol","C10H15N3O3","225.1113"
"4395","C19580","alpha-[3-[(Hydroxymethyl)nitrosoamino]propyl]-3-pyridinemethanol","C10H15N3O3","225.1113"
"4396","C19603","4-(Methylnitrosamino)-1-(3-pyridyl-N-oxide)-1-butanol;","C10H15N3O3","225.1113"
"4397","C20698","2-Aminoethyldiphenylborinate;","C14H16BNO","225.1325"
"4398","C15235","Antimonytrichloride;","SbCl3","225.8104"
"4399","C02084","Tetrathionate;","H2S4O6","225.8734"
"4400","C12835","2,5-Dichloro-4-oxohex-2-enedioate","C6H4Cl2O5","225.9436"
"4401","C00251","Chorismate;","C10H10O6","226.0477"
"4402","C00254","Prephenate;","C10H10O6","226.0477"
"4403","C00386","Carnosine;","C9H14N4O3","226.1066"
"4404","C00885","Isochorismate;","C10H10O6","226.0477"
"4405","C00931","Porphobilinogen","C10H14N2O4","226.0954"
"4406","C01948","Pentadecanal","C15H30O","226.2297"
"4407","C02345","(2S)-Flavan-4-ol","C15H14O2","226.0994"
"4408","C04277","1,8-Diazacyclotetradecane-2,9-dione","C12H22N2O2","226.1681"
"4409","C06831","Dithranol;","C14H10O3","226.063"
"4410","C07205","Metyrapone","C14H14N2O","226.1106"
"4411","C07422","Pentobarbital;","C11H18N2O3","226.1317"
"4412","C07536","Amobarbital","C11H18N2O3","226.1317"
"4413","C07540","6-Methylergoline","C15H18N2","226.147"
"4414","C08322","Myristoleicacid;","C14H26O2","226.1933"
"4415","C09757","7-Hydroxyflavan","C15H14O2","226.0994"
"4416","C09780","Genipin","C11H14O5","226.0841"
"4417","C10276","Pinosylvinmethylether;","C15H14O2","226.0994"
"4418","C10325","Deoxylapachol","C15H14O2","226.0994"
"4419","C11446","4-Dihydroxyethyl-8,9-epoxy-enediyne","C14H10O3","226.063"
"4420","C11801","4-Methylburimamide","C10H18N4S","226.1252"
"4421","C13632","4,4'-Dihydroxy-alpha-methylstilbene","C15H14O2","226.0994"
"4422","C15397","6-(2-Chloroallylthio)purine","C8H7ClN4S","226.008"
"4423","C16365","5-Acetylamino-6-formylamino-3-methyluracil;","C8H10N4O4","226.0702"
"4424","C16456","Radium-226","Ra","226.0254"
"4425","C18856","Flurecol","C14H10O3","226.063"
"4426","C19142","Butopyronoxyl","C12H18O4","226.1205"
"4427","C19173","Cyclopenta[cd]pyrene","C18H10","226.0783"
"4428","C19260","4,4'-Methylenebis(2-methylaniline)","C15H18N2","226.147"
"4429","C19342","Benzo[ghi]fluoranthene;","C18H10","226.0783"
"4430","C20514","Cyclo(L-leucyl-L-leucyl);","C12H22N2O2","226.1681"
"4431","C00826","L-Arogenate;","C10H13NO5","227.0794"
"4432","C00881","Deoxycytidine;","C9H13N3O4","227.0906"
"4433","C03287","L-Glutamyl5-phosphate;","C5H10NO7P","227.0195"
"4434","C03621","N-Acetoxy-4-aminobiphenyl","C14H13NO2","227.0946"
"4435","C03734","alpha-D-Glutamylphosphate","C5H10NO7P","227.0195"
"4436","C04081","N-Hydroxy-4-acetylaminobiphenyl","C14H13NO2","227.0946"
"4437","C05655","5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate;","C9H9NO6","227.043"
"4438","C05765","L-Glutamyl1-phosphate;","C5H10NO7P","227.0195"
"4439","C06047","Stizolobate;","C9H9NO6","227.043"
"4440","C06048","Stizolobinate;","C9H9NO6","227.043"
"4441","C07455","Nitroglycerin;","C3H5N3O9","227.0026"
"4442","C10679","Flindersine","C14H13NO2","227.0946"
"4443","C10924","9-Hydroxy-2-nitrofluorene;","C13H9NO3","227.0582"
"4444","C12469","3-Amino-4,7-dihydroxy-8-chlorocoumarin","C9H6ClNO4","226.9985"
"4445","C16391","Trinitrotoluene;","C7H5N3O6","227.0178"
"4446","C18700","Ametryn","C9H17N5S","227.1205"
"4447","C19055","Hexaflurate;","KAsF6","227.8757"
"4448","C07165","Triclofos","C2H4Cl3O4P","227.8913"
"4449","C18244","2,4-Dichloro-3-oxoadipate","C6H6Cl2O5","227.9592"
"4450","C00526","Deoxyuridine;","C9H12N2O5","228.0746"
"4451","C01107","(R)-5-Phosphomevalonate;","C6H13O7P","228.0399"
"4452","C03582","Resveratrol;","C14H12O3","228.0786"
"4453","C03872","L-Serine-phosphoethanolamine;","C5H13N2O6P","228.0511"
"4454","C06424","Tetradecanoicacid;","C14H28O2","228.2089"
"4455","C06581","2-Hydroxy-3-carboxy-6-oxo-7-methylocta-2,4-dienoate","C10H12O6","228.0634"
"4456","C06656","Deoxyguanidinoproclavaminicacid;","C9H16N4O3","228.1222"
"4457","C08461","ThiarubrineA;","C13H8S2","228.0067"
"4458","C08462","ThiarubrineB;","C13H8S2","228.0067"
"4459","C09312","Seselin","C14H12O3","228.0786"
"4460","C09314","Trioxsalen;","C14H12O3","228.0786"
"4461","C09317","Xanthyletin","C14H12O3","228.0786"
"4462","C09925","5,6-Dehydrokawain","C14H12O3","228.0786"
"4463","C10061","Euxanthone;","C13H8O4","228.0423"
"4464","C10371","MansononeC;","C15H16O2","228.115"
"4465","C11011","Metoxuron;","C10H13ClN2O2","228.0666"
"4466","C11319","3,5-Dinitrosalicylicacid","C7H4N2O7","228.0019"
"4467","C13624","BisphenolA;","C15H16O2","228.115"
"4468","C13733","(S)-ATPA","C10H16N2O4","228.111"
"4469","C14222","Chrysene;","C18H12","228.0939"
"4470","C14285","2-Hydroxy-4-methoxybenzophenone;","C14H12O3","228.0786"
"4471","C14317","Benz[a]anthracene;","C18H12","228.0939"
"4472","C14393","Benzylparaben;","C14H12O3","228.0786"
"4473","C15196","3,4-Dihydro-8,9-dihydroxy-1(2H)-anthracenone","C14H12O3","228.0786"
"4474","C15210","1,1-Bis(4-hydroxyphenyl)propane","C15H16O2","228.115"
"4475","C16308","Traumaticacid;","C12H20O4","228.1362"
"4476","C16457","Radium-228","Ra","228.0311"
"4477","C17424","Lindenenone","C15H16O2","228.115"
"4478","C18436","Tebuthiuron","C9H16N4OS","228.1045"
"4479","C18529","2-Methyl-4-chlorophenoxybutyricacid;","C11H13ClO3","228.0553"
"4480","C18564","Glyphosate-isopropylammonium","C3H8NO5P.C3H9N","228.0875"
"4481","C18911","(R)-4-Phosphopantoate","C6H13O7P","228.0399"
"4482","C19026","Chloromethiuron","C10H13ClN2S","228.0488"
"4483","C19197","Benzo[c]phenanthrene;","C18H12","228.0939"
"4484","C19314","Acepyrene;","C18H12","228.0939"
"4485","C19538","4,4',6-Trimethylangelicin","C14H12O3","228.0786"
"4486","C19541","Triphenylene","C18H12","228.0939"
"4487","C20847","(R)-Mevalonate3-phosphate;","C6H13O7P","228.0399"
"4488","C18751","Nitrapyrin","C6H3Cl4N","228.902"
"4489","C03090","5-Phosphoribosylamine;","C5H12NO7P","229.0351"
"4490","C04796","4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate6-semialdehyde","C9H11NO6","229.0586"
"4491","C04797","5-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate6-semialdehyde","C9H11NO6","229.0586"
"4492","C05353","TES;","C6H15NO6S","229.062"
"4493","C06821","Amiloride","C6H8ClN7O","229.0479"
"4494","C07065","Lamivudine;","C8H11N3O3S","229.0521"
"4495","C10676","gamma-Fagarine;","C13H11NO3","229.0739"
"4496","C11178","Resazurin","C12H7NO4","229.0375"
"4497","C11707","Pronethalol;","C15H19NO","229.1467"
"4498","C13795","2S-Amino-tridecanoicacid;","C13H27NO2","229.2042"
"4499","C14312","Propazine;","C9H16ClN5","229.1094"
"4500","C14326","Dimethoate","C5H12NO3PS2","228.9996"
"4501","C17758","4,5-seco-Dopa","C9H11NO6","229.0586"
"4502","C18463","Flonicamid","C9H6F3N3O","229.0463"
"4503","C18810","Terbuthylazine","C9H16ClN5","229.1094"
"4504","C18814","Trietazine","C9H16ClN5","229.1094"
"4505","C19046","Chloranocryl","C10H9Cl2NO","229.0061"
"4506","C19049","Cypromid","C10H9Cl2NO","229.0061"
"4507","C19337","Benz[a]acridine","C17H11N","229.0891"
"4508","C19338","Benz[c]acridine;","C17H11N","229.0891"
"4509","C20291","N-Hydroxy-MeIQx","C11H11N5O","229.0964"
"4510","C15505","2,3,5,6-Tetrachlorophenol","C6H2Cl4O","229.886"
"4511","C14644","4-Bromophenylthiourea;","C7H7BrN2S","229.9513"
"4512","C06949","Diazoxide","C8H7ClN2O2S","229.9917"
"4513","C00117","D-Ribose5-phosphate;","C5H11O8P","230.0192"
"4514","C00199","D-Ribulose5-phosphate","C5H11O8P","230.0192"
"4515","C00231","D-Xylulose5-phosphate","C5H11O8P","230.0192"
"4516","C00620","alpha-D-Ribose1-phosphate;","C5H11O8P","230.0192"
"4517","C01101","L-Ribulose5-phosphate","C5H11O8P","230.0192"
"4518","C01112","D-Arabinose5-phosphate","C5H11O8P","230.0192"
"4519","C01517","Naproxen","C14H14O3","230.0943"
"4520","C02678","Dodecanedioicacid","C12H22O4","230.1518"
"4521","C03291","L-Xylulose5-phosphate","C5H11O8P","230.0192"
"4522","C03736","alpha-D-Ribose5-phosphate","C5H11O8P","230.0192"
"4523","C03737","alpha-D-Xylose1-phosphate","C5H11O8P","230.0192"
"4524","C03906","beta-L-Arabinose1-phosphate","C5H11O8P","230.0192"
"4525","C05570","Ergothioneine","C9H16N3O2S","230.0963"
"4526","C06238","L-Arabinose1-phosphate","C5H11O8P","230.0192"
"4527","C06239","alpha-L-Arabinose1-phosphate","C5H11O8P","230.0192"
"4528","C06356","2,4,6-Trihydroxybenzophenone;","C13H10O4","230.0579"
"4529","C06441","L-Xylulose1-phosphate","C5H11O8P","230.0192"
"4530","C06814","D-Xylose-5-phosphate","C5H11O8P","230.0192"
"4531","C07034","Guanabenz","C8H8Cl2N4","230.0126"
"4532","C07718","2-Hydroxy-4-(1-oxo-1,3-dihydro-2H-inden-2-ylidene)-but-2-enoicacid","C13H10O4","230.0579"
"4533","C07725","2-Hydroxy-4-(2-oxo-1,3-dihydro-2H-inden-1-ylidene)but-2-enoicacid","C13H10O4","230.0579"
"4534","C08762","6-O-Methyleuparin;","C14H14O3","230.0943"
"4535","C09049","Visnagin","C13H10O4","230.0579"
"4536","C09387","Dehydrocostuslactone","C15H18O2","230.1307"
"4537","C09406","Eremanthin","C15H18O2","230.1307"
"4538","C09658","Dehydromyodesmone","C15H18O2","230.1307"
"4539","C09918","Aucuparin;","C14H14O3","230.0943"
"4540","C09947","Kawain;","C14H14O3","230.0943"
"4541","C10253","DemethylbatatasinIV","C14H14O3","230.0943"
"4542","C10255","Dihydroresveratrol","C14H14O3","230.0943"
"4543","C10758","Camoensine","C14H18N2O","230.1419"
"4544","C11492","NOPM;","C14H14O3","230.0943"
"4545","C11732","Diethylphenylphosphate;","C10H15O4P","230.0708"
"4546","C11800","Thiaburimamide","C8H14N4S2","230.066"
"4547","C12085","Bis-noryangonin","C13H10O4","230.0579"
"4548","C13844","DCEBIO;","C9H8Cl2N2O","230.0014"
"4549","C14523","Diisopropyladipate","C12H22O4","230.1518"
"4550","C15134","3-(1,2,3,4-Tetrahydro-6-hydroxy-2-naphthyl)cyclopentanone","C15H18O2","230.1307"
"4551","C16263","2,3-Dihydroxy-2'-carboxybiphenyl","C13H10O4","230.0579"
"4552","C16943","Curzerenone","C15H18O2","230.1307"
"4553","C16960","Furanodienone","C15H18O2","230.1307"
"4554","C16988","Linderenol;","C15H18O2","230.1307"
"4555","C17885","AtractylenolideI","C15H18O2","230.1307"
"4556","C17913","Isodehydrocostuslactone","C15H18O2","230.1307"
"4557","C18080","Osthenol","C14H14O3","230.0943"
"4558","C18083","Demethylsuberosin;","C14H14O3","230.0943"
"4559","C18216","4-Hydroxyphenyl-4-hydroxybenzoate","C13H10O4","230.0579"
"4560","C18350","Asulam","C8H10N2O4S","230.0361"
"4561","C18655","Demeton-S-methyl","C6H15O3PS2","230.02"
"4562","C18724","Endothal-disodium","C8H8O5.2Na","230.0167"
"4563","C19141","Pindone","C14H14O3","230.0943"
"4564","C19143","Dibutylsuccinate","C12H22O4","230.1518"
"4565","C20817","C20817;","C9H14N2O3S","230.0725"
"4566","C20921","N1-Acetyl-tabtoxinine-beta-lactam","C9H14N2O5","230.0903"
"4567","C02862","O-Butanoylcarnitine","C11H21NO4","231.1471"
"4568","C03624","N-Phosphohypotaurocyamine;","C3H10N3O5PS","231.0079"
"4569","C04301","N(alpha)-t-Butoxycarbonyl-L-leucine","C11H21NO4","231.1471"
"4570","C05539","N-Acetyl-L-2-amino-6-oxopimelate;","C9H13NO6","231.0743"
"4571","C05932","N-Succinyl-L-glutamate5-semialdehyde;","C9H13NO6","231.0743"
"4572","C06996","Fenfluramine","C12H16F3N","231.1235"
"4573","C07539","Aminopyrine;","C13H17N3O","231.1372"
"4574","C10703","LeiokinineA","C14H17NO2","231.1259"
"4575","C10918","Indeloxazine","C14H17NO2","231.1259"
"4576","C11789","Metazocine","C15H21NO","231.1623"
"4577","C19102","Eglinazine","C7H10ClN5O2","231.0523"
"4578","C19542","Triaziquone;","C12H13N3O2","231.1008"
"4579","C01068","D-Ribitol5-phosphate;","C5H13O8P","232.0348"
"4580","C01410","Boc-Asn;","C9H16N2O5","232.1059"
"4581","C01598","Melatonin;","C13H16N2O2","232.1212"
"4582","C02895","Xylitol5-phosphate;","C5H13O8P","232.0348"
"4583","C02951","5-Hydroxyxanthotoxin","C12H8O5","232.0372"
"4584","C03415","N2-Succinyl-L-ornithine;","C9H16N2O5","232.1059"
"4585","C03509","L-Arabinitol5-phosphate","C5H13O8P","232.0348"
"4586","C04390","N6-Acetyl-LL-2,6-diaminoheptanedioate;","C9H16N2O5","232.1059"
"4587","C05079","Nalidixicacid","C12H12N2O3","232.0848"
"4588","C07434","Phenobarbital","C12H12N2O3","232.0848"
"4589","C07617","Aminoglutethimide","C13H16N2O2","232.1212"
"4590","C09005","Encecalin;","C14H16O3","232.1099"
"4591","C09142","Cryptolepine","C16H12N2","232.1"
"4592","C09289","Alantolactone","C15H20O2","232.1463"
"4593","C09382","Costunolide;","C15H20O2","232.1463"
"4594","C09383","alpha-Cyclocostunolide","C15H20O2","232.1463"
"4595","C09384","beta-Cyclocostunolide","C15H20O2","232.1463"
"4596","C09408","Eremofrullanolide","C15H20O2","232.1463"
"4597","C09454","Frullanolide","C15H20O2","232.1463"
"4598","C09466","Glechomanolide","C15H20O2","232.1463"
"4599","C09484","Isoalantolactone","C15H20O2","232.1463"
"4600","C09503","MexicaninE","C14H16O3","232.1099"
"4601","C09692","Isovelleral","C15H20O2","232.1463"
"4602","C09710","Pinguisone","C15H20O2","232.1463"
"4603","C09930","Goniothalenol;","C13H12O4","232.0736"
"4604","C10747","Albine","C14H20N2O","232.1576"
"4605","C10748","Aloperine","C15H24N2","232.1939"
"4606","C13668","CNQX;","C9H4N4O4","232.0233"
"4607","C13811","Piperazineadipate","C6H10O4.C4H10N2","232.1423"
"4608","C15767","4-(L-gamma-Glutamylamino)butanoate;","C9H16N2O5","232.1059"
"4609","C16575","(S)-2',6'-Pipecoloxylidide","C14H20N2O","232.1576"
"4610","C17232","2-Oxo-10-methylthiodecanoicacid;","C11H20O3S","232.1133"
"4611","C17488","Furanogermenone","C15H20O2","232.1463"
"4612","C17535","Aplotaxene","C17H28","232.2191"
"4613","C17884","3beta-Hydroxyatractylon","C15H20O2","232.1463"
"4614","C17886","AtractylenolideII","C15H20O2","232.1463"
"4615","C18251","Pyrene-4,5-dione;","C16H8O2","232.0524"
"4616","C18257","Pyrene-1,6-dione;","C16H8O2","232.0524"
"4617","C18258","Pyrene-1,8-dione;","C16H8O2","232.0524"
"4618","C18259","1-Methoxypyrene","C17H12O","232.0888"
"4619","C18428","Diuron","C9H10Cl2N2O","232.017"
"4620","C18435","Siduron","C14H20N2O","232.1576"
"4621","C18853","Fluometuron","C10H11F3N2O","232.0823"
"4622","C18878","Oxabetrinil","C12H12N2O3","232.0848"
"4623","C18934","Metsulfovax","C12H12N2OS","232.067"
"4624","C19089","Parafluron","C10H11F3N2O","232.0823"
"4625","C19115","Chlorfenprop-methyl","C10H10Cl2O2","232.0058"
"4626","C19157","Thorium-232","Th","232.0381"
"4627","C19638","5alpha-Gonane","C17H28","232.2191"
"4628","C19639","Gonane;","C17H28","232.2191"
"4629","C19640","5beta-Gonane","C17H28","232.2191"
"4630","C19674","D-Arabinitol1-phosphate;","C5H13O8P","232.0348"
"4631","C20841","2-Hydroxy-7-methoxy-5-methyl-1-naphthoate","C13H12O4","232.0736"
"4632","C04337","N(omega)-Nitro-L-argininemethylester;","C7H15N5O4","233.1124"
"4633","C07079","Lomustine;","C9H16ClN3O2","233.0931"
"4634","C07196","Methylphenidate","C14H19NO2","233.1416"
"4635","C07770","Sulbactam","C8H11NO5S","233.0358"
"4636","C08062","2-Hydroxy-6-oxo-(2'-aminophenyl)-hexa-2,4-dienoate","C12H11NO4","233.0688"
"4637","C09945","Deoxynupharidine","C15H23NO","233.178"
"4638","C10654","Casimiroin","C12H11NO4","233.0688"
"4639","C13690","Dopamine3-O-sulfate;","C8H11NO5S","233.0358"
"4640","C13691","Dopamine4-O-sulfate","C8H11NO5S","233.0358"
"4641","C17233","Hexahomomethionine","C11H23NO2S","233.145"
"4642","C18896","Tebutam;","C15H23NO","233.178"
"4643","C19347","Bis(1-aziridinyl)morpholinophosphinesulfide","C8H16N3OPS","233.0752"
"4644","C14336","1,2-Dibromo-3-chloropropane;","C3H5Br2Cl","233.8447"
"4645","C19248","Hexachloroethane","C2Cl6","233.8131"
"4646","C13556","Monobasiccalciumphosphate;","Ca(H2PO4)2","233.9007"
"4647","C03575","2-Iodophenolmethylether","C7H7IO","233.9542"
"4648","C18686","Chlormephos","C5H12ClO2PS2","233.9705"
"4649","C17382","Ferrouslactate","C6H10FeO6","233.9827"
"4650","C11020","2,4-DP;","C9H8Cl2O3","233.9851"
"4651","C14514","Chinomethionat;","C10H6N2OS2","233.9922"
"4652","C20685","(R)-(2,4-Dichlorophenoxy)propanoate;","C9H8Cl2O3","233.9851"
"4653","C20687","(S)-(2,4-Dichlorophenoxy)propanoate;","C9H8Cl2O3","233.9851"
"4654","C02253","Benzoylagmatine","C12H18N4O","234.1481"
"4655","C04486","5-(4-Hydroxybut-1-ynyl)-2,2'-bithiophene;","C12H10OS2","234.0173"
"4656","C06742","2'-Hydroxybiphenyl-2-sulfinate;","C12H10O3S","234.0351"
"4657","C07073","Lidocaine","C14H22N2O","234.1732"
"4658","C07431","Phenelzinesulfate","C8H12N2.H2SO4","234.0674"
"4659","C07731","2-Hydroxy-6-oxo-6-(2-hydroxyphenyl)-hexa-2,4-dienoate","C12H10O5","234.0528"
"4660","C07937","Riluzole","C8H5F3N2OS","234.0075"
"4661","C09350","BakkenolideA","C15H22O2","234.162"
"4662","C09376","Confertifolin","C15H22O2","234.162"
"4663","C09399","Drimenin","C15H22O2","234.162"
"4664","C09409","Eremophilenolide","C15H22O2","234.162"
"4665","C09677","Helminthosporal","C15H22O2","234.162"
"4666","C09686","Hydroxyisopatchoulenone","C15H22O2","234.162"
"4667","C09712","Polygodial","C15H22O2","234.162"
"4668","C09721","Sclerosporin","C15H22O2","234.162"
"4669","C09739","Tetradymol","C15H22O2","234.162"
"4670","C09743","Valerenicacid","C15H22O2","234.162"
"4671","C10426","1'-Acetoxychavicolacetate","C13H14O4","234.0892"
"4672","C10751","Angustifoline","C14H22N2O","234.1732"
"4673","C10783","(-)-Sparteine;","C15H26N2","234.2096"
"4674","C11200","Lenacil","C13H18N2O2","234.1368"
"4675","C12025","2,6-Diamino-7-hydroxy-azelaicacid","C9H18N2O5","234.1216"
"4676","C15242","8-Chloro-2,7-dibenzofurandiol;","C12H7ClO3","234.0084"
"4677","C15250","3-(3,4-Dichlorophenyl)-1-hydroxy-1-methylurea;","C8H8Cl2N2O2","233.9963"
"4678","C16598","(R)-(Homo)3-citrate;","C9H14O7","234.074"
"4679","C16600","(-)-threo-Iso(homo)3-citrate;","C9H14O7","234.074"
"4680","C16757","(Z)-Ajoene","C9H14OS3","234.0207"
"4681","C16758","(E)-Ajoene","C9H14OS3","234.0207"
"4682","C16942","Curcumenol","C15H22O2","234.162"
"4683","C16949","Dehydrocurdione","C15H22O2","234.162"
"4684","C17090","alpha-Cyperone","C15H22O2","234.162"
"4685","C17418","Genisteine;","C15H26N2","234.2096"
"4686","C17489","(4S,5S)-(+)-Germacrone4,5-epoxide","C15H22O2","234.162"
"4687","C17491","13-Hydroxygermacrone","C15H22O2","234.162"
"4688","C17492","Curcumenone","C15H22O2","234.162"
"4689","C17504","Sugeonol","C15H22O2","234.162"
"4690","C17609","Chrysantherol","C15H22O2","234.162"
"4691","C17917","CoixindenB","C13H14O4","234.0892"
"4692","C18036","StrigolactoneABC-rings","C14H18O3","234.1256"
"4693","C18250","4,5-Dihydroxypyrene","C16H10O2","234.0681"
"4694","C18263","1,6-Dihydroxypyrene;","C16H10O2","234.0681"
"4695","C18264","1,8-Dihydroxypyrene;","C16H10O2","234.0681"
"4696","C18265","1-Hydroxypyrene-6,7-oxide","C16H10O2","234.0681"
"4697","C18266","1-Hydroxypyrene-7,8-oxide","C16H10O2","234.0681"
"4698","C18326","p-Coumaroylputrescine","C13H18N2O2","234.1368"
"4699","C19349","1,4-Bis(chloromethoxymethyl)benzene","C10H12Cl2O2","234.0214"
"4700","C19678","GermacreneAacid;","C15H22O2","234.162"
"4701","C20124","Benzo[b]naphtho[2,1-d]thiophene;","C16H10S","234.0503"
"4702","C20309","Artemisinate;","C15H22O2","234.162"
